btree,gridDimensions,gridObstacles,maxSimSteps,treeComplexityPenalty,backtrackingPenalty,collisionPenalty,phototaxisReward,fitness
Handcrafted1,5,5,50,0.0,-11.7,-21.6,79.2,46.0
Handcrafted2,5,5,50,0.0,-9.8,-26.1,100.0,64.2
Random,5,5,50,0.0,-29.2,-98.0,4.2,-123.1
Handcrafted1,5,5,60,0.0,-6.7,-16.9,100.0,76.5
Handcrafted2,5,5,60,0.0,-8.7,-26.5,100.0,65.0
Random,5,5,60,0.0,-29.2,-97.3,4.2,-122.3
Handcrafted1,5,5,80,0.0,-8.6,-21.7,100.0,69.8
Handcrafted2,5,5,80,0.0,-5.6,-18.6,100.0,76.0
Random,5,5,80,0.0,-29.4,-98.0,4.2,-123.2
Handcrafted1,5,5,100,0.0,-6.1,-7.4,100.0,86.6
Handcrafted2,5,5,100,0.0,-7.4,-17.1,100.0,75.6
Random,5,5,100,0.0,-29.0,-94.7,0.0,-123.6
Handcrafted1,5,7,50,0.0,-10.6,-13.4,100.0,76.2
Handcrafted2,5,7,50,0.0,-13.8,-31.8,70.9,25.4
Random,5,7,50,0.0,-28.5,-93.4,8.4,-113.4
Handcrafted1,5,7,60,0.0,-15.3,-23.7,66.7,27.9
Handcrafted2,5,7,60,0.0,-11.9,-29.8,100.0,58.4
Random,5,7,60,0.0,-28.0,-90.0,16.7,-101.4
Handcrafted1,5,7,80,0.0,-8.7,-12.1,100.0,79.4
Handcrafted2,5,7,80,0.0,-11.8,-33.5,100.0,54.8
Random,5,7,80,0.0,-28.9,-94.6,20.9,-102.7
Handcrafted1,5,7,100,0.0,-8.2,-19.9,100.0,72.1
Handcrafted2,5,7,100,0.0,-12.8,-33.4,100.0,54.0
Random,5,7,100,0.0,-29.4,-98.0,25.0,-102.4
Handcrafted1,5,9,50,0.0,-3.7,-8.8,100.0,87.6
Handcrafted2,5,9,50,0.0,-15.7,-39.6,100.0,44.8
Random,5,9,50,0.0,-29.0,-97.4,0.0,-126.4
Handcrafted1,5,9,60,0.0,-19.6,-37.7,87.5,30.4
