btree,gridDimensions,gridObstacles,maxSimSteps,treeComplexityPenalty,backtrackingPenalty,collisionPenalty,idlePenalty,phototaxisReward,fitness
Handcrafted1,5,5,50,0.0,-11.7,0.0,-29.6,79.2,38.0
Handcrafted2,5,5,50,0.0,-5.3,-16.9,-15.6,100.0,62.4
Random,5,5,50,0.0,-29.2,0.0,-117.6,4.2,-142.7
Exp1,5,5,50,0.0,-5.8,-8.1,-15.8,100.0,70.4
Exp2,5,5,50,0.0,-2.8,0.0,-4.2,100.0,93.2
Exp3,5,5,50,0.0,-14.3,-22.7,-36.2,100.0,27.0
Handcrafted1,5,5,60,0.0,-1.8,0.0,-5.5,100.0,92.9
Handcrafted2,5,5,60,0.0,-7.3,-8.8,-23.5,100.0,60.6
Random,5,5,60,0.0,-29.5,0.0,-118.7,8.4,-139.9
Exp1,5,5,60,0.0,-14.7,-29.4,-46.9,100.0,9.1
Exp2,5,5,60,0.0,-14.9,0.0,-30.1,83.4,38.5
Exp3,5,5,60,0.0,-9.1,-12.7,-22.3,100.0,56.0
Handcrafted1,5,5,80,0.0,0.0,0.0,-4.8,100.0,95.3
Handcrafted2,5,5,80,0.0,-6.4,-15.8,-16.4,100.0,61.6
Random,5,5,80,0.0,-28.9,0.0,-114.0,8.4,-134.6
Exp1,5,5,80,0.0,-18.8,-27.7,-43.3,100.0,10.3
Exp2,5,5,80,0.0,-7.7,0.0,-24.0,83.4,51.8
Exp3,5,5,80,0.0,-6.7,-11.0,-20.6,100.0,61.9
Handcrafted1,5,5,100,0.0,0.0,0.0,-6.5,100.0,93.5
Handcrafted2,5,5,100,0.0,0.0,-18.7,-7.0,100.0,74.4
Random,5,5,100,0.0,-28.5,0.0,-109.7,33.4,-104.7
Exp1,5,5,100,0.0,-1.7,-6.5,-15.0,100.0,77.0
Exp2,5,5,100,0.0,-13.1,0.0,-31.1,100.0,56.0
Exp3,5,5,100,0.0,-10.7,-11.3,-19.8,100.0,58.5
Handcrafted1,5,7,50,0.0,-5.2,0.0,-18.0,100.0,77.0
Handcrafted2,5,7,50,0.0,-11.4,-9.5,-33.6,100.0,45.7
Random,5,7,50,0.0,-28.2,0.0,-109.7,12.5,-125.4
Exp1,5,7,50,0.0,-10.3,-21.3,-35.3,100.0,33.3
Exp2,5,7,50,0.0,-2.6,0.0,-8.7,100.0,88.9
